TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpRewMean,ev_tdlam_before,loss_ent,EpLenMean,loss_kl,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpThisIter
1490432,-0.0060027577,0.0,-1.8116453397633046,0.7199130952358246,0.4988431,893.86,0.0021951278,1606,6.6725064e-05,4674.213932991028,1
1490944,-0.00586312,0.0,-1.8093242480213183,0.007516145706176758,0.19466518,893.86,0.0029745824,1607,1.0005104e-05,4674.68833899498,1
1491456,-0.007933166,0.0,-1.8093242480213183,0.2565237879753113,0.5261402,893.86,0.0060421857,1607,6.1388077e-06,4675.157969236374,0
1491968,-0.008027528,0.0,-1.8061479108602183,0.02051776647567749,0.28082535,893.86,0.0045667198,1608,1.833202e-05,4675.629835128784,1
1492480,-0.005432626,0.0,-1.8061479108602183,-0.438399076461792,0.5399852,893.86,0.0022264908,1608,6.1952032e-06,4676.095919847488,0
1492992,-0.006704372,0.0,-1.8067898421442814,-0.3463698625564575,0.4105819,893.86,0.0040976047,1609,2.713643e-05,4676.556002855301,1
1493504,-0.002100885,0.0,-1.8067898421442814,0.7378037869930267,0.4307524,893.86,0.00210652,1609,0.0008932295,4677.018975734711,0
1494016,-0.0020144843,0.0,-1.804562198608285,-0.00862419605255127,0.21359473,893.86,0.0013506557,1610,5.0556948e-05,4677.472875118256,1
1494528,-0.0016328022,0.0,-1.804562198608285,0.7448513507843018,0.5160543,893.86,0.003341764,1610,2.0656893e-05,4677.909487485886,0
1495040,-0.008136431,0.0,-1.8016879426132135,0.975992826744914,0.26902002,893.86,0.0023621456,1611,0.0032323934,4678.374520540237,1
1495552,-0.0012723962,0.0,-1.8016879426132135,0.6853023767471313,0.29989612,893.86,0.0041012955,1611,0.0073838225,4678.841744661331,0
1496064,-0.0006060498,0.0,-1.8003898450060865,-0.001592874526977539,0.24609724,893.86,0.00064565585,1612,0.00010779061,4679.304766654968,1
1496576,-0.0010422515,0.0,-1.8003898450060865,-0.10536348819732666,0.5033741,893.86,0.00039640444,1612,2.0275482e-05,4679.744075059891,0
1497088,-0.0012323139,0.0,-1.7985881975995368,0.9081821292638779,0.29401022,893.86,0.002569767,1613,0.022430371,4680.1965301036835,1
1497600,-0.0061776913,0.0,-1.7985881975995368,-1.1949422359466553,0.23953095,893.86,0.0036068407,1613,0.006722565,4680.631161689758,0
1498112,-0.003304271,0.0,-1.798486181006576,0.8504161685705185,0.37731367,893.86,0.0065849964,1614,0.00024142273,4681.088691711426,1
1498624,-0.0033838134,0.0,-1.798486181006576,-0.1807459592819214,0.35893312,893.86,0.003084641,1614,9.821427e-05,4681.547097444534,0
1499136,-0.0026707537,0.0,-1.795806561844475,0.91710514575243,0.30200952,893.86,0.0019012906,1615,0.00085646624,4681.99374294281,1
1499648,-0.0033719353,0.0,-1.795806561844475,-1.470198631286621,0.26111785,893.86,0.0015730332,1615,0.00038592436,4682.441683292389,0
1500160,-0.0031944118,0.0,-1.7932801119457913,0.953507985919714,0.43959078,893.86,0.0019398122,1616,0.0011565886,5201.2695434093475,1
1500672,-0.0073412303,0.0,-1.7932801119457913,-0.7240955829620361,0.3005681,893.86,0.0026327376,1616,0.0007527554,5201.744309663773,0
1501184,-0.002702875,0.0,-1.9746641799853049,0.9064560309052467,0.29310596,875.09,0.0018808752,1619,0.28816298,5202.197166919708,3
1501696,-0.006421133,0.0,-1.9746641799853049,-1.322932481765747,0.24227647,875.09,0.002477771,1619,0.013206348,5202.676566839218,0
1502208,-0.0071470095,0.0,-1.9727688757795396,0.6698523759841919,0.45054403,875.09,0.0031830238,1620,0.026122577,5203.121932506561,1
1502720,-0.0030918624,0.0,-1.9727688757795396,0.029377341270446777,0.18128483,875.09,0.0019063356,1620,0.020279976,5203.578471183777,0
1503232,-0.007583255,0.0,-1.8801452853552834,0.61419478058815,0.4837726,885.09,0.0010687384,1621,0.006652547,5204.0304799079895,1
1503744,-0.0046224184,0.0,-1.8801452853552834,-0.22957110404968262,0.25799164,885.09,0.0047693965,1621,0.00044736243,5204.484854698181,0
1504256,-0.0012024529,0.0,-1.786396672828364,0.0027087926864624023,0.2676598,895.09,0.0011774692,1622,0.000342468,5204.946998596191,1
1504768,-0.001482252,0.0,-1.786396672828364,-0.22400188446044922,0.48281193,895.09,0.0006936954,1622,1.5716776e-05,5205.44428062439,0
1505280,-0.00035504624,0.0,-1.7858189483526703,0.32622867822647095,0.49420485,895.09,0.0013113283,1623,0.00052521325,5205.92969918251,1
1505792,-0.00546634,0.0,-1.7858189483526703,0.07601606845855713,0.27596134,895.09,0.0031460267,1623,3.949643e-05,5206.388247251511,0
1506304,-0.0036563687,0.0,-1.7828510139183538,0.0015906095504760742,0.33030918,895.09,0.00076808844,1624,0.00016410612,5206.843120098114,1
1506816,-0.00076121464,0.0,-1.7681137037481625,0.09212601184844971,0.48161697,881.6,0.00094358274,1626,1.6280401,5207.2995545864105,2
1507328,-0.0041073514,0.0,-1.7681137037481625,0.08495324850082397,0.42762452,881.6,0.0029724885,1626,8.7969405e-05,5207.756266832352,0
1507840,-0.004620364,0.0,-1.7668144731837925,-0.032501935958862305,0.2227169,881.6,0.0038718223,1627,0.00040477706,5208.212986946106,1
1508352,-0.0065506734,0.0,-1.7668144731837925,0.5828031003475189,0.35389176,881.6,0.002808671,1627,0.00015658689,5208.666708469391,0
1508864,-0.0031696986,0.0,-1.76403485805233,-0.009140372276306152,0.25040776,881.6,0.0063413144,1628,0.00015639263,5209.127042293549,1
1509376,-0.009057392,0.0,-1.76403485805233,0.4015094041824341,0.48626933,881.6,0.004374066,1628,1.215832e-05,5209.575979709625,0
1509888,-0.011169194,0.0,-1.7609130601803966,0.8459164202213287,0.40910283,881.6,0.004916318,1629,7.02321e-05,5210.050372362137,1
1510400,-0.0006113509,0.0,-1.7609130601803966,-0.07113170623779297,0.30853242,881.6,0.0007656299,1629,0.00015477483,5210.50190281868,0
1510912,-0.0042545088,0.0,-1.7563584305897635,0.37034809589385986,0.291507,881.6,0.0047874693,1630,0.00057478546,5210.941213846207,1
1511424,-0.0072814375,0.0,-1.7563584305897635,0.597559928894043,0.28557083,881.6,0.002634287,1630,5.3448344e-05,5211.387581586838,0
1511936,-0.0032268409,0.0,-1.7566026575380118,0.3347720503807068,0.27997354,881.6,0.0024867933,1631,0.000406917,5211.848839521408,1
1512448,-0.0047430415,0.0,-1.7566026575380118,0.17335957288742065,0.3304035,881.6,0.0019840272,1631,2.2606799e-05,5212.296110153198,0
1512960,-0.006066952,0.0,-1.7523228952707908,0.4013224244117737,0.28533626,881.6,0.002164483,1632,0.0014287682,5212.784174442291,1
1513472,-0.0008634757,0.0,-1.7523228952707908,-2.6920995712280273,0.20189662,881.6,0.0017983359,1632,0.00023556245,5213.249856233597,0
1513984,-0.0014702044,0.0,-1.7483548129781203,0.26521074771881104,0.39967105,881.6,0.0023628382,1633,0.00089922256,5213.692933320999,1
1514496,-0.0019681891,0.0,-1.7483548129781203,-0.06116652488708496,0.2556491,881.6,0.0009688731,1633,4.4215976e-05,5214.1574285030365,0
1515008,-0.0065873438,0.0,-1.7465663071135011,0.34951454401016235,0.30828542,881.6,0.0033331406,1634,0.025355924,5214.605985403061,1
1515520,-0.00048602372,0.0,-1.7465663071135011,-0.8940507173538208,0.15087181,881.6,0.00011709667,1634,0.00014310608,5215.048031330109,0
1516032,0.006779736,0.0,-1.7454513051519784,0.07596927881240845,0.4491125,881.6,0.0053239595,1635,0.00021728386,5215.4897203445435,1
1516544,-0.0036651362,0.0,-1.7454513051519784,0.027149736881256104,0.2388401,881.6,0.0038303242,1635,3.2135682e-05,5215.919014215469,0
1517056,-0.0029149735,0.0,-1.741776551752445,0.003313302993774414,0.3624475,881.6,0.0016197892,1636,0.0001408756,5216.3571836948395,1
1517568,-0.0056603104,0.0,-1.741776551752445,0.012210309505462646,0.2680863,881.6,0.002066297,1636,3.3760112e-05,5216.812853574753,0
1518080,-0.0025936537,0.0,-1.7399212957628822,0.04975283145904541,0.37336513,881.6,0.0026716199,1637,0.00010601445,5217.262865781784,1
1518592,-0.0039736647,0.0,-1.7399212957628822,-0.14626801013946533,0.26616082,881.6,0.00314401,1637,3.4170018e-05,5217.709482192993,0
1519104,-0.0071668476,0.0,-1.7373204735701082,0.2049005627632141,0.35418278,881.6,0.0040979977,1638,0.0016464179,5218.196883440018,1
1519616,-0.0025986256,0.0,-1.7373204735701082,0.34179627895355225,0.13873902,881.6,0.00078430073,1638,3.31845e-05,5218.648807764053,0
1520128,-0.002412648,0.0,-1.7347024774734294,0.1366381049156189,0.40816483,881.6,0.0009476453,1639,8.472762e-05,5219.0977075099945,1
1520640,-0.0040812343,0.0,-1.7347024774734294,-0.23531007766723633,0.21393646,881.6,0.0016566787,1639,1.8126962e-05,5219.525510311127,0
1521152,-0.0046119485,0.0,-1.7325767719881007,-0.0035483837127685547,0.42959112,881.6,0.0019826228,1640,7.189522e-05,5219.981596231461,1
1521664,-0.0025618551,0.0,-1.7325767719881007,-0.011205911636352539,0.44394034,881.6,0.0016682631,1640,3.2160006e-05,5220.462948560715,0
1522176,-0.002328454,0.0,-1.7297510029045153,0.06595093011856079,0.43531534,881.6,0.004752401,1641,5.38013e-05,5220.917273521423,1
1522688,-0.0026408145,0.0,-1.7297510029045153,-0.12038576602935791,0.24745727,881.6,0.0030612326,1641,2.6379774e-05,5221.373280286789,0
1523200,-0.0040166397,0.0,-1.7293651388854678,-0.026055455207824707,0.4666772,881.6,0.003101019,1642,5.8482008e-05,5221.815642595291,1
1523712,-0.004716254,0.0,-1.7293651388854678,0.04211980104446411,0.37364388,881.6,0.003453129,1642,6.5116654e-07,5222.294848680496,0
1524224,-0.004652409,0.0,-1.7295428335331946,0.15233886241912842,0.3007378,881.6,0.002194959,1643,0.0066513144,5222.746625900269,1
1524736,-0.0037231836,0.0,-1.7295428335331946,-0.06521189212799072,0.21089427,881.6,0.0033273078,1643,2.8054659e-08,5223.211356163025,0
1525248,-0.0019161571,0.0,-1.7276869317778774,0.3065921664237976,0.37698174,881.6,0.004920782,1644,0.0008133317,5223.679671764374,1
1525760,-0.0041439524,0.0,-1.725304422385805,0.0019887685775756836,0.21135953,881.6,0.002381627,1645,0.000103274135,5224.137003421783,1
1526272,-0.004594084,0.0,-1.725304422385805,0.3006439805030823,0.4039236,881.6,0.0025978195,1645,3.6441845e-05,5224.597001314163,0
1526784,-5.8317557e-05,0.0,-1.7238608122493173,0.5561005175113678,0.17686968,881.6,0.0007672766,1647,0.016136065,5225.044716835022,2
1527296,-0.0049405275,0.0,-1.7238608122493173,-0.5073667764663696,0.49228853,881.6,0.0026663032,1647,7.836713e-06,5225.501962900162,0
1527808,-0.004261111,0.0,-1.629445395140196,-0.003126859664916992,0.27367032,891.04,0.0015552301,1648,8.955988e-05,5225.964111804962,1
1528320,-0.0029742252,0.0,-1.629445395140196,-0.7251328229904175,0.37573832,891.04,0.0013326393,1648,0.0005269462,5226.455071210861,0
1528832,-0.0019300766,0.0,-1.7223866330155015,0.8168589621782303,0.2109183,881.75,0.0012205999,1650,0.011375231,5226.930055856705,2
1529344,-0.00095384195,0.0,-1.7223866330155015,-0.1729050874710083,0.47794482,881.75,0.0013939011,1650,1.9831457e-05,5227.410803794861,0
1529856,-0.0032723658,0.0,-1.722167784435878,0.9986532899783924,0.16497266,881.75,0.00087504496,1651,0.00058098277,5227.857595920563,1
1530368,-0.0011907509,0.0,-1.8130887314585429,0.9342288076877594,0.49162602,872.28,0.0014289762,1652,0.002540341,5228.308324337006,1
1530880,-0.003500346,0.0,-1.8130887314585429,-0.10226154327392578,0.1756072,872.28,0.0024585905,1652,9.224871e-07,5228.775082588196,0
1531392,-0.004128564,0.0,-1.71945487253318,0.009785473346710205,0.5008192,881.82,0.0021398128,1653,3.8433358e-05,5229.22155547142,1
1531904,-0.0039029624,0.0,-1.7178814284439907,-0.06352663040161133,0.25836363,881.82,0.0023256945,1654,7.5171214e-05,5229.67108130455,1
1532416,-0.0020333533,0.0,-1.7178814284439907,0.4349219799041748,0.43421316,881.82,0.002112613,1654,0.00013153692,5230.129009723663,0
1532928,-0.0013166592,0.0,-1.6241204653343593,-0.0060471296310424805,0.17110014,891.82,0.0011681428,1655,5.867011e-05,5230.577503204346,1
1533440,-0.0077098426,0.0,-1.6241204653343593,0.3609992265701294,0.4724744,891.82,0.003509658,1655,6.7173837e-06,5231.053493022919,0
1533952,-0.005543406,0.0,-1.62067079306953,-0.032135009765625,0.23088308,891.82,0.002339369,1656,7.054711e-05,5231.529922485352,1
1534464,-0.0053517334,0.0,-1.62067079306953,0.19702792167663574,0.354465,891.82,0.0033217575,1656,0.0015223717,5231.996617078781,0
1534976,-0.0040610326,0.0,-1.7092025144893959,0.9518808126449585,0.2180663,882.41,0.0024869505,1658,0.0075613437,5232.431666135788,2
1535488,-0.0023838049,0.0,-1.7092025144893959,0.4860515594482422,0.327469,882.41,0.0021679664,1658,0.011133158,5232.873667240143,0
1536000,-0.007980324,0.0,-1.798049162616509,0.9766914583742619,0.17458348,872.77,0.0011880405,1660,0.0065601533,5233.31604719162,2
1536512,-0.011386417,0.0,-1.798049162616509,-0.5555868148803711,0.5171245,872.77,0.006962224,1660,8.834936e-06,5233.770933151245,0
1537024,-0.0012537269,0.0,-1.7974283169825513,-0.008166074752807617,0.37736928,872.77,0.0006923889,1661,9.5266216e-05,5234.23760843277,1
1537536,-0.006079237,0.0,-1.7974283169825513,0.6082639694213867,0.4665624,872.77,0.0014836525,1661,5.579486e-06,5234.727158784866,0
1538048,-0.0037713256,0.0,-1.7951898658325676,0.944934006780386,0.2537033,872.77,0.0030572743,1662,0.00014269071,5235.197534561157,1
1538560,-0.003295891,0.0,-1.7951898658325676,0.293338418006897,0.31481528,872.77,0.001178521,1662,0.006039626,5235.650001049042,0
1539072,-0.008071868,0.0,-1.7930506388723921,0.9268882498145103,0.22118095,872.77,0.0023669724,1663,0.00027505183,5236.113200426102,1
1539584,-0.004175283,0.0,-1.7930506388723921,-0.03803825378417969,0.27604726,872.77,0.0023318068,1663,0.0018744022,5236.649830341339,0
1540096,-0.0028932672,0.0,-1.789372284690333,0.7301733791828156,0.22980025,872.77,0.0021407478,1664,9.148929e-05,5237.111679553986,1
1540608,-0.0037118066,0.0,-1.789372284690333,-0.33694005012512207,0.29394737,872.77,0.0019784584,1664,0.0003405132,5237.567510843277,0
1541120,-0.008464783,0.0,-1.7866588143469786,-0.1538982391357422,0.24227822,872.77,0.0023702427,1665,8.801547e-05,5238.032072305679,1
1541632,-0.001706928,0.0,-1.7866588143469786,0.10000258684158325,0.42740604,872.77,0.0005527253,1665,4.0822695e-05,5238.480647325516,0
